domain,category,evidence,source,risk_score,first_seen,last_seen,geo,notes
guardbufercleaner.xyz,spam,Community report,community,,2025-09-13,,,
wbpthjfx.xyz,spam,Community report,community,,2025-09-13,,,
ifoqazns.xyz,spam,Community report,community,,2025-09-13,,,
pxwwrava.xyz,spam,Community report,community,,2025-09-13,,,
xfiupirn.xyz,spam,Community report,community,,2025-09-13,,,
medbclol.xyz,spam,Community report,community,,2025-09-13,,,
tzpfqpin.xyz,spam,Community report,community,,2025-09-13,,,
wdaijun.xyz,spam,Community report,community,,2025-09-13,,,
24hourwristbands.xyz,spam,Community report,community,,2025-09-13,,,
namyangjukranma.xyz,spam,Community report,community,,2025-09-13,,,
allyblcp.xyz,spam,Community report,community,,2025-09-13,,,
iinnmkcp.xyz,spam,Community report,community,,2025-09-13,,,
grwpzcqk.xyz,spam,Community report,community,,2025-09-13,,,
nkzgwczm.xyz,spam,Community report,community,,2025-09-13,,,
cxupzfcv.xyz,spam,Community report,community,,2025-09-13,,,
srrejtwb.xyz,spam,Community report,community,,2025-09-13,,,
iqnzmhgv.xyz,spam,Community report,community,,2025-09-13,,,
mobqgnvd.xyz,spam,Community report,community,,2025-09-13,,,
rnxbxilq.xyz,spam,Community report,community,,2025-09-13,,,
dukans.xyz,spam,Community report,community,,2025-09-13,,,
backpackwithstories.xyz,spam,Community report,community,,2025-09-13,,,
promotional-wrist-bands.xyz,spam,Community report,community,,2025-09-13,,,
tuyenquangshop.xyz,spam,Community report,community,,2025-09-13,,,
klmysh.xyz,spam,Community report,community,,2025-09-13,,,
jklcasoz.xyz,spam,Community report,community,,2025-09-13,,,
abiyusvq.xyz,spam,Community report,community,,2025-09-13,,,
rxxjusmp.xyz,spam,Community report,community,,2025-09-13,,,
wjzpykbz.xyz,spam,Community report,community,,2025-09-13,,,
ljyqymci.xyz,spam,Community report,community,,2025-09-13,,,
fnddihci.xyz,spam,Community report,community,,2025-09-13,,,
tuoeswer.xyz,spam,Community report,community,,2025-09-13,,,
puenzyoy.xyz,spam,Community report,community,,2025-09-13,,,
dkmexxvi.xyz,spam,Community report,community,,2025-09-13,,,
jypkdabr.xyz,spam,Community report,community,,2025-09-13,,,
hsmfpmds.xyz,spam,Community report,community,,2025-09-13,,,
iauakowq.xyz,spam,Community report,community,,2025-09-13,,,
toujbdcv.xyz,spam,Community report,community,,2025-09-13,,,
slotxo79.xyz,spam,Community report,community,,2025-09-13,,,
ambxbet.xyz,spam,Community report,community,,2025-09-13,,,
bilisimhaber.xyz,spam,Community report,community,,2025-09-13,,,
coral888.xyz,spam,Community report,community,,2025-09-13,,,
wikifa.xyz,spam,Community report,community,,2025-09-13,,,
717tv.xyz,spam,Community report,community,,2025-09-13,,,
ddortewx.xyz,spam,Community report,community,,2025-09-13,,,
cdjxqzjo.xyz,spam,Community report,community,,2025-09-13,,,
wttseksa.xyz,spam,Community report,community,,2025-09-13,,,
cppyoszm.xyz,spam,Community report,community,,2025-09-13,,,
hnddnxrh.xyz,spam,Community report,community,,2025-09-13,,,
tomak.xyz,spam,Community report,community,,2025-09-13,,,
gggmbaxy.xyz,spam,Community report,community,,2025-09-13,,,
ixcxxdas.xyz,spam,Community report,community,,2025-09-13,,,
sjjlhxar.xyz,spam,Community report,community,,2025-09-13,,,
axojefkj.xyz,spam,Community report,community,,2025-09-13,,,
osqgmiqj.xyz,spam,Community report,community,,2025-09-13,,,
pszkrbek.xyz,spam,Community report,community,,2025-09-13,,,
ldutcvdb.xyz,spam,Community report,community,,2025-09-13,,,
lshbahwl.xyz,spam,Community report,community,,2025-09-13,,,
eeiodsxf.xyz,spam,Community report,community,,2025-09-13,,,
ocyozbhs.xyz,spam,Community report,community,,2025-09-13,,,
sossylzl.xyz,spam,Community report,community,,2025-09-13,,,
tzlmnnvu.xyz,spam,Community report,community,,2025-09-13,,,
ikgtgwko.xyz,spam,Community report,community,,2025-09-13,,,
ivsblkyd.xyz,spam,Community report,community,,2025-09-13,,,
peolmvcj.xyz,spam,Community report,community,,2025-09-13,,,
uhjjewau.xyz,spam,Community report,community,,2025-09-13,,,
jrjmkey.xyz,spam,Community report,community,,2025-09-13,,,
gamekapital.xyz,spam,Community report,community,,2025-09-13,,,
lovelypetsdogtown-cheats.xyz,spam,Community report,community,,2025-09-13,,,
share4all.xyz,spam,Community report,community,,2025-09-13,,,
uhuxkwxx.xyz,spam,Community report,community,,2025-09-13,,,
hfpewxgk.xyz,spam,Community report,community,,2025-09-13,,,
grouse888.xyz,spam,Community report,community,,2025-09-13,,,
yifanhu.xyz,spam,Community report,community,,2025-09-13,,,
underground-toplist.xyz,spam,Community report,community,,2025-09-13,,,
ckc-e.xyz,spam,Community report,community,,2025-09-13,,,
alexsports.xyz,spam,Community report,community,,2025-09-13,,,
newsphonereview.xyz,spam,Community report,community,,2025-09-13,,,
crocodile888.xyz,spam,Community report,community,,2025-09-13,,,
tankupwar.xyz,spam,Community report,community,,2025-09-13,,,
browseware.xyz,spam,Community report,community,,2025-09-13,,,
scoss.xyz,spam,Community report,community,,2025-09-13,,,
lidafilm.xyz,spam,Community report,community,,2025-09-13,,,
droid-android.xyz,spam,Community report,community,,2025-09-13,,,
lis36.xyz,spam,Community report,community,,2025-09-13,,,
raxtion.xyz,spam,Community report,community,,2025-09-13,,,
cvtfevct.xyz,spam,Community report,community,,2025-09-13,,,
hdgzuqrt.xyz,spam,Community report,community,,2025-09-13,,,
bpjnxgvs.xyz,spam,Community report,community,,2025-09-13,,,
ltehhsmt.xyz,spam,Community report,community,,2025-09-13,,,
mjbefnqt.xyz,spam,Community report,community,,2025-09-13,,,
acorugsh.xyz,spam,Community report,community,,2025-09-13,,,
hhncthip.xyz,spam,Community report,community,,2025-09-13,,,
vkdiyruj.xyz,spam,Community report,community,,2025-09-13,,,
yretzkuc.xyz,spam,Community report,community,,2025-09-13,,,
ugvihcwy.xyz,spam,Community report,community,,2025-09-13,,,
xrpoyjxm.xyz,spam,Community report,community,,2025-09-13,,,
tfkqruap.xyz,spam,Community report,community,,2025-09-13,,,
fxnwkvdz.xyz,spam,Community report,community,,2025-09-13,,,
nbqzfzch.xyz,spam,Community report,community,,2025-09-13,,,
